Model,Manufacturer,Pollution_CO2_g_per_pax_km,Passenger_Capacity,Units_Manufactured,Manufacturing_Country,Country_of_Origin,Year_First_Made,Range_km,Wingspan_m,Engine_Count,Engine_Type,Max_Speed_kph,Length_m,Height_m
EM183,Embraer,486.4,250,1913,Brazil,Brazil,2003,7215,48.14,2,Turboprop,815,59.73,20.45
A655,Airbus,156.71,388,351,France,France,1984,13074,34.45,2,Turboprop,843,34.28,20.98
EM663,Embraer,369.76,673,1261,Brazil,Brazil,1974,5224,58.64,2,Turbojet,856,47.21,21.23
BD974,Bombardier,55.05,660,1650,Canada,Canada,2005,12505,74.58,2,Turbojet,832,66.64,8.44
EM415,Embraer,161.87,675,686,Brazil,Brazil,1998,4254,70.62,2,Turbojet,810,68.11,19.48
B645,Boeing,54.82,716,1424,USA,USA,1977,6912,50.95,2,Turbofan,972,28.84,8.46
A680,Airbus,250.16,734,1453,France,France,1950,2192,53.57,4,Turbofan,944,35.45,16.06
MJ625,Mitsubishi,160.65,68,804,Japan,Japan,1968,9497,57.61,2,Turbojet,940,30.2,19.83
BD156,Bombardier,411.94,167,1491,Canada,Canada,1953,10744,57.96,4,Turboprop,986,57.84,8.83
BD210,Bombardier,78.74,150,397,Canada,Canada,1978,11277,75.28,2,Turbofan,860,62.15,13.73
A670,Airbus,287.49,191,272,France,France,2001,5619,69.42,4,Turboprop,925,31.0,15.57
C130,Comac,485.82,127,254,China,China,1969,10432,77.61,2,Turbojet,972,44.95,10.07
A800,Airbus,107.78,60,1715,France,France,1999,11551,78.44,4,Turbofan,910,67.07,15.29
B259,Boeing,296.35,145,1711,USA,USA,1956,13122,51.3,2,Turbofan,886,64.15,17.95
BD884,Bombardier,440.01,332,1852,Canada,Canada,2007,8317,28.06,2,Turbofan,886,36.01,11.67
B795,Boeing,439.54,120,513,USA,USA,1974,11924,72.81,2,Turbojet,845,72.85,18.96
TU953,Tupolev,242.59,571,1802,Russia,Russia,1989,9722,73.0,2,Turbojet,809,45.58,22.77
EM386,Embraer,446.15,192,1243,Brazil,Brazil,1984,8090,28.01,2,Turbojet,933,70.12,18.4
EM895,Embraer,279.21,611,1495,Brazil,Brazil,2008,14587,78.56,4,Turbojet,818,68.09,9.84
EM826,Embraer,478.21,55,583,Brazil,Brazil,1979,12008,33.14,2,Turbofan,816,44.75,17.49
BD791,Bombardier,330.12,427,416,Canada,Canada,1963,6809,37.05,4,Turboprop,971,56.7,13.9
MJ659,Mitsubishi,111.92,139,629,Japan,Japan,1958,4918,51.01,2,Turbojet,902,54.45,14.26
A232,Airbus,150.73,290,1053,France,France,1972,10595,67.47,4,Turboprop,990,38.15,20.39
EM309,Embraer,350.17,415,756,Brazil,Brazil,2014,7831,24.8,2,Turbofan,823,31.25,12.31
A952,Airbus,216.34,246,176,France,France,1982,12642,39.95,4,Turbojet,918,51.18,22.84
MJ103,Mitsubishi,464.02,164,619,Japan,Japan,1984,7763,51.31,2,Turbofan,956,63.63,17.96
A436,Airbus,416.47,599,356,France,France,1980,4763,73.78,4,Turbofan,905,35.11,15.23
MJ739,Mitsubishi,193.57,115,507,Japan,Japan,1980,13054,49.58,4,Turbojet,955,64.45,7.57
C181,Comac,360.36,565,1522,China,China,1962,9371,68.68,2,Turboprop,861,73.77,6.57
A976,Airbus,303.22,274,1395,France,France,1982,11370,23.63,4,Turbofan,831,30.88,6.04
C221,Comac,233.75,704,226,China,China,1956,9216,72.27,2,Turbofan,897,42.28,16.69
B463,Boeing,438.26,98,155,USA,USA,1979,6744,22.2,2,Turbofan,851,52.47,17.89
A458,Airbus,498.82,742,67,France,France,1996,14406,43.41,2,Turbojet,912,70.57,10.55
EM890,Embraer,171.8,90,319,Brazil,Brazil,2009,13025,60.43,4,Turboprop,940,35.55,18.41
EM935,Embraer,303.58,409,1362,Brazil,Brazil,2005,11756,66.0,2,Turbofan,926,71.07,21.03
B654,Boeing,386.85,797,96,USA,USA,1962,4838,29.86,4,Turbojet,994,71.21,16.7
C429,Comac,192.54,240,1440,China,China,2001,12986,42.2,4,Turbofan,984,26.66,20.3
MJ161,Mitsubishi,463.23,844,588,Japan,Japan,1974,7896,36.83,4,Turbojet,800,72.66,11.66
EM473,Embraer,412.15,694,338,Brazil,Brazil,2014,9901,53.35,2,Turbofan,836,55.0,19.77
BD777,Bombardier,265.47,737,919,Canada,Canada,1951,11353,76.97,4,Turboprop,975,41.78,12.28
BD605,Bombardier,483.92,819,1127,Canada,Canada,2018,1908,43.95,4,Turbojet,848,43.54,12.33
C928,Comac,348.64,569,428,China,China,1973,8254,66.32,2,Turbofan,897,42.09,10.71
TU523,Tupolev,161.86,589,234,Russia,Russia,2005,2252,78.9,4,Turboprop,987,42.97,12.55
MJ850,Mitsubishi,81.45,786,1285,Japan,Japan,1999,13630,33.84,2,Turbofan,982,65.97,18.39
EM142,Embraer,279.12,604,869,Brazil,Brazil,2006,11195,67.73,2,Turbojet,811,49.09,14.31
EM903,Embraer,270.78,624,29,Brazil,Brazil,1961,7845,61.05,2,Turboprop,852,51.46,17.35
B255,Boeing,436.47,716,436,USA,USA,1989,5270,23.11,4,Turbofan,947,61.94,19.03
BD888,Bombardier,120.61,509,1558,Canada,Canada,1967,13497,58.95,2,Turboprop,850,69.77,20.38
BD544,Bombardier,496.44,604,1924,Canada,Canada,2006,4159,58.08,4,Turboprop,937,27.22,9.49
B704,Boeing,126.67,481,1301,USA,USA,2011,14970,72.79,2,Turboprop,974,66.51,11.85
C688,Comac,224.21,791,231,China,China,1980,9593,73.79,4,Turboprop,927,55.48,18.21
TU295,Tupolev,374.63,522,253,Russia,Russia,1998,8153,30.71,4,Turboprop,809,44.46,18.48
A388,Airbus,394.28,752,1822,France,France,1976,6752,46.52,2,Turbofan,970,72.15,20.63
B614,Boeing,389.02,380,756,USA,USA,1989,13847,38.23,4,Turboprop,946,63.32,20.84
C304,Comac,187.8,791,1475,China,China,2009,5038,31.29,2,Turboprop,811,47.07,6.54
C234,Comac,326.34,786,862,China,China,1975,11741,41.15,2,Turbofan,913,48.03,8.04
MJ179,Mitsubishi,157.08,675,1267,Japan,Japan,2012,9613,42.81,2,Turbojet,806,43.51,18.12
A971,Airbus,367.67,847,308,France,France,1951,4905,36.48,4,Turbofan,811,49.89,8.37
C163,Comac,235.53,594,1513,China,China,1987,7497,26.99,2,Turbofan,813,72.5,20.26
EM694,Embraer,191.75,257,127,Brazil,Brazil,1967,4981,36.32,2,Turboprop,910,68.04,8.25
BD936,Bombardier,314.35,551,1923,Canada,Canada,1992,12008,46.35,2,Turbojet,933,31.48,10.21
EM888,Embraer,70.54,151,574,Brazil,Brazil,1995,3529,58.42,2,Turbofan,864,33.56,10.89
B647,Boeing,176.35,352,1286,USA,USA,1979,13482,49.88,2,Turboprop,927,71.89,18.36
